139 0,022663 7 6 592 543
139 0,392444 1 3 0 6
445 0,797651 1 2 0 6
139 0,219143 1 2 0 6
445 0,166530 1 2 0 6
139 0,158140 1 2 0 6
445 0,164807 1 2 0 6
139 0,466848 1 2 0 6
445 0,257223 1 2 0 6
139 0,155093 1 2 0 6
445 0,166652 1 2 0 6
139 0,201363 1 2 0 6
445 0,168525 1 2 0 6
139 0,325460 1 2 0 6
445 1,009389 1 2 0 6
139 0,542464 1 2 0 6
445 0,917456 1 2 0 6
80 0,001893 1 0 0 0
80 0,006289 4 1 4380 1
139 0,456219 1 2 0 6
445 0,265174 1 2 0 6
139 0,143545 1 2 0 6
445 0,275222 1 2 0 6
139 0,170774 1 2 0 6
445 0,549536 1 2 0 6
139 0,409988 1 2 0 6
445 0,146901 1 2 0 6
139 0,148440 1 2 0 6
445 0,154283 1 2 0 6
139 0,175453 1 2 0 6
445 0,481657 1 2 0 6
139 0,408523 1 2 0 6
445 0,156013 1 2 0 6
139 0,150767 1 2 0 6
445 0,162163 1 2 0 6
139 0,683930 1 2 0 6
445 0,200339 1 2 0 6
139 0,351986 1 2 0 6
445 0,563944 1 2 0 6
139 0,513720 1 2 0 6
445 3,388448 1 2 0 6
139 0,842051 1 2 0 6
445 0,171665 1 2 0 6
139 0,160849 1 2 0 6
445 0,154208 1 2 0 6
139 0,622129 1 2 0 6
445 0,506330 1 2 0 6
139 3,378706 1 2 0 6
445 0,699390 1 2 0 6
139 2,294919 1 2 0 6
445 3,922429 1 2 0 6
139 0,870401 1 2 0 6
445 1,210466 1 2 0 6
139 4,607175 1 2 0 6
445 1,652182 1 2 0 6
139 0,978532 1 2 0 6
445 0,977933 1 2 0 6
139 0,883191 1 2 0 6
445 1,427708 1 2 0 6
139 0,535346 1 2 0 6
139 0,002021 1 0 0 0
139 0,008251 2 1 72 1
445 1,052591 1 2 0 6
139 0,007404 2 1 72 1
139 0,418058 1 2 0 6
445 0,999191 1 2 0 6
139 0,496795 1 2 0 6
445 0,406245 1 2 0 6
139 0,751216 1 2 0 6
445 0,161166 1 2 0 6
139 0,459760 1 2 0 6
445 0,484220 1 2 0 6
139 0,163374 1 2 0 6
445 0,165872 1 2 0 6
139 0,156820 1 2 0 6
445 0,157465 1 2 0 6
139 0,234126 1 2 0 6
445 0,594649 1 2 0 6
139 0,262959 1 2 0 6
445 0,136379 1 2 0 6
139 0,797505 1 2 0 6
445 0,523809 1 2 0 6
139 0,280202 1 2 0 6
445 0,394369 1 2 0 6
139 0,778728 1 2 0 6
445 0,807039 1 2 0 6
139 1,012407 1 2 0 6
445 1,095264 1 2 0 6
139 1,208007 1 2 0 6
445 1,008628 1 2 0 6
139 1,190023 1 2 0 6
445 4,370497 1 2 0 6
139 1,049766 1 2 0 6
445 1,130567 1 2 0 6
139 1,082185 1 2 0 6
445 1,218683 1 2 0 6
22 87,817726 50 39 2748 5146
139 0,002030 1 0 0 0
139 0,007785 2 1 72 1
139 0,009788 2 1 72 1
139 1,230530 1 2 0 6
80 0,387456 2 1 207 1
80 0,405371 3 2 298 1
445 4,014685 1 2 0 6
139 0,813085 1 2 0 6
445 1,088035 1 2 0 6
139 1,225774 1 2 0 6
139 0,005378 1 0 0 0
445 0,018328 1 2 0 6
445 0,990758 1 2 0 6
139 1,205956 1 2 0 6
445 1,245474 1 2 0 6
139 1,364979 1 2 0 6
445 1,074209 1 2 0 6
139 1,088945 1 2 0 6
445 1,141483 1 2 0 6
80 33,215420 6 5 1927 664
139 1,201314 1 2 0 6
445 1,067843 1 2 0 6
80 1,240689 6 10 630 11585
80 0,174835 3 2 652 1
80 0,110029 1 3 0 2173
80 0,115311 1 5 0 1565
80 0,111294 1 2 0 201
80 0,231963 3 3 1283 514
80 0,292810 1 3 0 231
80 0,095796 2 2 624 1
80 1,086508 6 9 907 10137
80 4,186488 1 3 0 918
80 1,195766 8 2 760 1
445 1,113604 1 2 0 6
80 3,534401 1 3 0 2792
80 0,087146 1 4 0 498
80 0,280041 1 3 0 562
80 0,210316 4 9 725 8689
80 0,522266 1 2 0 686
80 0,300667 1 3 0 164
139 0,929278 1 2 0 6
445 1,005839 1 2 0 6
80 15,009819 2 2 151 244
80 17,388163 4 6 744 5296
80 0,485330 2 4 595 2792
80 0,085948 1 4 0 1436
80 0,304240 1 3 0 562
80 0,517305 1 2 0 615
80 0,288921 9 4 806 1449
80 0,300815 1 3 0 164
139 0,020851 7 6 592 543
80 0,576399 2 4 595 2897
80 0,120747 1 3 0 483
80 0,526382 1 2 0 615
80 1,309989 1 2 0 1
80 0,176058 4 9 726 8689
80 1,034758 8 2 547 127
80 1,508926 6 6 726 8689
139 0,030251 9 8 957 765
80 99,962440 2 5 243 1
139 120,376266 0 1 0 1
445 120,378944 0 1 0 1
80 0,527150 1 2 0 686
80 0,526824 1 2 0 685
80 1,706543 2 4 595 2897
80 0,083316 1 4 0 1436
80 0,091581 4 6 805 4345
80 0,441457 2 4 670 1893
80 0,546693 2 4 595 2897
80 0,117553 2 2 778 1
80 0,217692 4 9 726 8689
80 0,520038 1 2 0 1039
80 0,519083 1 2 0 615
80 1,052732 4 7 704 7386
80 18,174097 13 11 584 13033
139 123,551926 0 1 0 1
80 0,589197 2 4 595 2897
80 0,111740 1 4 0 484
80 0,113456 1 3 0 1461
80 0,111333 14 12 1042 14481
80 0,226148 4 8 726 7241
80 1,022842 1 1 0 1
80 1,061919 4 7 706 7386
80 0,421413 2 1 207 1
80 0,409547 3 2 296 1
80 0,410267 2 1 241 1
80 0,409888 2 1 241 1
80 0,579773 3 2 375 1
80 3,374521 2 3 241 1
80 0,426531 3 1 296 1
80 0,417358 3 2 285 1
80 0,415376 3 2 279 1
80 6,205203 2 2 241 1
80 0,392140 2 1 241 1
80 0,416025 3 2 550 1
80 0,417441 2 2 241 1
80 0,400542 3 2 335 1
