139 0,022663 7 6 592 543
139 0,415107 8 9 592 549
445 0,797651 1 2 0 6
139 0,634250 9 11 592 555
445 0,964181 2 4 0 12
139 0,792390 10 13 592 561
445 1,128988 3 6 0 18
139 1,259238 11 15 592 567
445 1,386211 4 8 0 24
139 1,414331 12 17 592 573
445 1,552863 5 10 0 30
139 1,615694 13 19 592 579
445 1,721388 6 12 0 36
139 1,941154 14 21 592 585
445 2,730777 7 14 0 42
139 2,483618 15 23 592 591
445 3,648233 8 16 0 48
80 0,001893 1 0 0 0
80 0,008182 5 1 4380 1
139 2,939837 16 25 592 597
445 3,913407 9 18 0 54
139 3,083382 17 27 592 603
445 4,188629 10 20 0 60
139 3,254156 18 29 592 609
445 4,738165 11 22 0 66
139 3,664144 19 31 592 615
445 4,885066 12 24 0 72
139 3,812583 20 33 592 621
445 5,039349 13 26 0 78
139 3,988036 21 35 592 627
445 5,521006 14 28 0 84
139 4,396559 22 37 592 633
445 5,677019 15 30 0 90
139 4,547326 23 39 592 639
445 5,839182 16 32 0 96
139 5,231256 24 41 592 645
445 6,039521 17 34 0 102
139 5,583242 25 43 592 651
445 6,603465 18 36 0 108
139 6,096962 26 45 592 657
445 9,991913 19 38 0 114
139 6,939013 27 47 592 663
445 10,163578 20 40 0 120
139 7,099862 28 49 592 669
445 10,317786 21 42 0 126
139 7,721991 29 51 592 675
445 10,824116 22 44 0 132
139 11,100697 30 53 592 681
445 11,523506 23 46 0 138
139 13,395616 31 55 592 687
445 15,445935 24 48 0 144
139 14,266017 32 57 592 693
445 16,656401 25 50 0 150
139 18,873192 33 59 592 699
445 18,308582 26 52 0 156
139 19,851725 34 61 592 705
445 19,286516 27 54 0 162
139 20,734915 35 63 592 711
445 20,714224 28 56 0 168
139 21,270260 36 65 592 717
139 21,272282 37 65 592 717
139 21,280533 39 66 664 718
445 21,766815 29 58 0 174
139 21,287937 41 67 736 719
139 21,705996 42 69 736 725
445 22,766006 30 60 0 180
139 22,202791 43 71 736 731
445 23,172251 31 62 0 186
139 22,954008 44 73 736 737
445 23,333416 32 64 0 192
139 23,413769 45 75 736 743
445 23,817636 33 66 0 198
139 23,577143 46 77 736 749
445 23,983509 34 68 0 204
139 23,733963 47 79 736 755
445 24,140974 35 70 0 210
139 23,968088 48 81 736 761
445 24,735622 36 72 0 216
139 24,231047 49 83 736 767
445 24,872002 37 74 0 222
139 25,028551 50 85 736 773
445 25,395811 38 76 0 228
139 25,308754 51 87 736 779
445 25,790180 39 78 0 234
139 26,087482 52 89 736 785
445 26,597219 40 80 0 240
139 27,099890 53 91 736 791
445 27,692484 41 82 0 246
139 28,307898 54 93 736 797
445 28,701113 42 84 0 252
139 29,497921 55 95 736 803
445 33,071609 43 86 0 258
139 30,547688 56 97 736 809
445 34,202175 44 88 0 264
139 31,629873 57 99 736 815
445 35,420856 45 90 0 270
22 87,817726 50 39 2748 5146
139 31,631903 58 99 736 815
139 31,639688 60 100 808 816
139 31,649477 62 101 880 817
139 32,880009 63 103 880 823
80 0,395638 7 2 4587 2
80 0,801009 10 4 4885 3
445 39,435543 46 92 0 276
139 33,693092 64 105 880 829
445 40,523579 47 94 0 282
139 34,918865 65 107 880 835
139 34,924244 66 107 880 835
445 40,541908 48 96 0 288
445 41,532665 49 98 0 294
139 36,130199 67 109 880 841
445 42,778141 50 100 0 300
139 37,495178 68 111 880 847
445 43,852348 51 102 0 306
139 38,584122 69 113 880 853
445 44,993832 52 104 0 312
80 34,016430 16 9 6812 667
139 39,785435 70 115 880 859
445 46,061676 53 106 0 318
80 35,257118 22 19 7442 12252
80 35,431953 25 21 8094 12253
80 35,541981 26 24 8094 14426
80 35,657291 27 29 8094 15991
80 35,768585 28 31 8094 16192
80 36,000549 31 34 9377 16706
80 36,293358 32 37 9377 16937
80 36,389153 34 39 10001 16938
80 37,475662 40 48 10908 27075
80 41,662151 41 51 10908 27993
80 42,857918 49 53 11668 27994
445 47,175282 54 108 0 324
80 46,392319 50 56 11668 30786
80 46,479465 51 60 11668 31284
80 46,759506 52 63 11668 31846
80 46,969822 56 72 12393 40535
80 47,492088 57 74 12393 41221
80 47,792755 58 77 12393 41385
139 40,714714 71 117 880 865
445 48,181122 55 110 0 330
80 62,802574 60 79 12544 41629
80 80,190735 64 85 13288 46925
80 80,676064 66 89 13883 49717
80 80,762009 67 93 13883 51153
80 81,066246 68 96 13883 51715
80 81,583549 69 98 13883 52330
80 81,872467 78 102 14689 53779
80 82,173279 79 105 14689 53943
139 40,735565 78 123 1472 1408
80 82,749680 81 109 15284 56840
80 82,870430 82 112 15284 57323
80 83,396812 83 114 15284 57938
80 84,706802 84 116 15284 57939
80 84,882858 88 125 16010 66628
80 85,917618 96 127 16557 66755
80 87,426544 102 133 17283 75444
139 40,765816 87 131 2429 2173
80 187,388977 104 138 17526 75445
139 161,142090 87 132 2429 2174
445 168,560059 55 111 0 331
80 187,916122 105 140 17526 76131
80 188,442947 106 142 17526 76816
80 190,149490 108 146 18121 79713
80 190,232803 109 150 18121 81149
80 190,324387 113 156 18926 85494
80 190,765839 115 160 19596 87387
80 191,312531 117 164 20191 90284
80 191,430084 119 166 20969 90285
80 191,647781 123 175 21695 98974
80 192,167816 124 177 21695 100013
80 192,686905 125 179 21695 100628
80 193,739639 129 186 22399 108014
80 211,913742 142 197 22983 121047
139 284,694031 87 133 2429 2175
80 212,502945 144 201 23578 123944
80 212,614685 145 205 23578 124428
80 212,728134 146 208 23578 125889
80 212,839462 160 220 24620 140370
80 213,065613 164 228 25346 147611
80 214,088455 165 229 25346 147612
80 215,150375 169 236 26052 154998
80 215,571793 171 237 26259 154999
80 215,981339 174 239 26555 155000
80 216,391602 176 240 26796 155001
80 216,801483 178 241 27037 155002
80 217,381256 181 243 27412 155003
80 220,755783 183 246 27653 155004
80 221,182312 186 247 27949 155005
80 221,599670 189 249 28234 155006
80 222,015045 192 251 28513 155007
80 228,220245 194 253 28754 155008
80 228,612381 196 254 28995 155009
80 229,028412 199 256 29545 155010
80 229,445847 201 258 29786 155011
80 229,846390 204 260 30121 155012
80 230,267349 206 262 30362 155013
80 233,657730 209 264 30657 155014
80 237,052032 211 266 30898 155015
80 237,447495 214 268 31203 155016
80 237,862717 217 270 31499 155017
80 238,697372 219 272 31740 155018
80 239,104492 222 274 32036 155019
80 239,512634 225 276 32338 155020
80 239,890228 228 278 32634 155021
80 240,266739 231 280 32930 155022
80 240,657806 234 282 33226 155023
80 241,052887 237 284 33522 155024
80 242,445496 244 292 33763 164545
80 242,835510 247 294 34256 164546
80 243,225204 249 296 34497 164547
80 243,627014 252 298 34809 164548
80 244,031250 255 300 35121 164549
80 244,438049 258 302 35433 164550
80 244,835220 261 304 35790 164551
80 245,228912 264 306 36167 164552
80 245,623413 267 309 36504 164725
80 246,023239 270 311 36842 164726
80 246,424744 273 313 37138 164727
80 246,828949 276 315 37647 164728
80 247,234253 279 317 37992 164729
80 248,480240 285 324 38233 172890
80 248,889023 287 325 38474 172891
80 255,077850 291 327 39056 173064
80 258,393555 292 330 39056 175744
80 258,808533 295 332 39366 175745
80 263,602539 297 334 39607 175746
80 264,019196 300 336 40132 175747
80 264,454590 302 338 40373 175748
80 264,870697 305 340 40683 175749
80 271,635468 313 352 41719 190741
80 272,052094 316 354 42035 190742
80 274,982452 318 356 42276 190743
80 275,393188 321 358 42621 190744
80 275,814667 323 360 42862 190745
80 284,344421 325 363 43353 190974
80 286,839752 327 365 43818 190975
80 288,233032 333 372 44300 199136
80 288,730286 334 374 44300 200353
80 308,762756 336 377 44541 200354
80 309,172424 338 378 44782 200355
80 339,146118 341 383 45111 203326
80 393,346863 346 387 46279 203769
80 423,297485 351 396 46698 212675
80 453,248077 353 399 47118 212897
80 485,684204 355 402 47753 213119
80 486,105865 358 404 48039 213120
80 490,922607 360 406 48280 213121
80 520,750244 362 409 48756 213343
80 520,751709 363 409 48756 213343
80 520,758484 367 410 53136 213344
139 284,714508 94 139 3021 2718
80 647,073486 372 413 54183 213633
80 769,786316 386 424 59570 216434
80 890,877747 392 428 61273 217025
80 1011,380249 395 430 61838 217026
80 1138,090088 402 435 62880 220779
80 1259,692017 405 437 63433 220780
80 1384,286743 408 439 63989 220781
139 284,716461 95 139 3021 2718
139 284,723816 97 140 3093 2719
139 284,730530 99 141 3165 2720
139 345,043762 110 149 4122 3481
80 1384,891357 410 442 64584 223678
80 1384,997925 411 446 64584 225114
80 1385,196289 412 449 64584 226575
80 1385,312378 420 455 65626 232368
80 1385,837158 421 457 65626 233054
80 1387,328735 428 464 66432 241743
139 345,046539 111 149 4122 3481
445 168,584122 56 113 0 337
80 1402,336182 430 466 66583 241987
80 1402,927246 432 470 67178 244884
80 1403,025757 433 474 67178 245367
80 1403,120728 434 478 67178 245865
80 1403,292236 435 485 67178 251658
80 1404,701050 443 490 67904 257451
80 1405,206299 444 492 67904 258158
80 1406,539185 455 508 68451 278557
139 345,069397 118 155 4720 4028
139 345,071411 119 155 4720 4028
445 168,612747 57 115 0 343
139 947,808838 134 168 6312 5029
80 1407,139038 457 512 69046 281349
80 1407,255127 458 516 69046 282785
80 1407,556763 459 519 69046 283347
80 1408,091553 460 521 69046 284033
80 1408,319702 466 529 69851 291274
80 1408,600464 467 532 69851 291438
10000 0,396580 1 0 0 0
80 1423,603516 469 534 70002 291682
139 1007,897400 154 185 8744 6690
10000 0,885240 2 3 0 1480
10000 1,361341 3 6 0 2960
10000 1,860698 4 8 0 2990
10000 2,366381 5 10 0 3020
80 1424,859253 475 544 70632 303267
80 1424,968140 479 545 71136 303268
80 1425,102051 480 547 71136 303469
80 1425,267212 483 554 71725 309262
80 1425,563354 484 557 71725 309493
80 1425,775024 487 560 73010 310007
80 1426,340332 489 563 73662 310754
80 1427,510986 490 566 73662 311672
80 1428,692627 496 578 74557 321809
80 1429,443970 498 582 75151 324706
80 1429,551880 499 584 75151 324707
80 1429,657471 501 587 75928 324708
80 1429,822388 505 595 76653 333397
80 1431,025879 510 604 77403 343534
80 1431,594604 511 606 77403 344220
80 1448,887451 515 611 79614 345290
80 1449,359253 517 615 80209 348082
80 1449,477783 518 619 80209 349518
80 1449,782959 519 622 80209 350080
80 1449,962769 524 629 81015 355873
80 1450,500366 525 631 81015 356912
80 1450,796143 526 634 81015 357076
80 1451,834961 533 644 81721 368807
139 1007,919250 161 191 9335 7033
80 1452,342163 535 648 82316 371704
80 1452,428345 536 652 82316 372188
80 1452,512695 537 656 82316 372668
80 1452,770996 538 659 82316 373230
80 1452,891235 541 665 83042 377575
80 1453,050903 545 673 83768 384816
80 1453,342896 546 676 83768 384980
139 1007,937805 169 199 10342 7798
80 1453,345581 547 676 83768 384980
80 1453,354614 551 677 88148 384981
80 1453,475098 553 680 88500 385125
80 1453,591553 555 683 88852 385269
80 1453,707886 557 686 89204 385413
80 1453,811646 559 689 89556 385557
80 1453,931152 561 692 89908 385701
80 1454,059692 563 695 90260 385845
139 1007,957886 176 205 10933 8141
139 1007,977905 185 213 11882 8906
80 1454,173096 565 698 90612 385989
139 1008,003601 194 221 12839 9671
80 1465,184326 572 704 91232 396210
80 1465,296753 574 707 91584 396354
80 1465,532593 575 710 91584 397100
80 1465,775146 578 717 92173 405789
80 1467,701782 587 726 92793 423166
80 1468,957397 588 729 92793 424084
80 1469,076416 589 732 92793 426257
80 1469,206543 590 734 92793 426458
80 1469,522949 591 737 92793 426689
80 1469,742432 594 740 94076 427203
80 1470,953125 600 751 94973 437340
80 1471,748413 602 755 95567 440237
80 1471,859497 603 758 95567 441698
80 1471,979858 604 762 95567 442196
80 1473,272339 609 771 96327 452333
80 1473,378174 619 787 97358 472606
80 1473,593994 623 796 98083 481295
80 1477,098511 624 799 98083 481296
80 1480,254639 629 805 98887 487089
80 1480,801636 631 809 99482 489986
80 1480,909302 632 813 99482 490469
80 1499,351807 637 818 101723 491539
80 1499,878418 638 820 101723 492225
80 1503,002197 641 827 102449 498018
80 1506,119873 642 829 102449 498991
80 1506,299561 647 836 103027 509128
80 1506,952881 649 840 103622 512025
80 1507,064209 650 844 103622 512505
80 1507,295898 655 853 104348 522642
80 1507,833130 656 855 104348 523354
80 1508,357422 657 857 104348 524393
80 1509,410889 662 864 105054 531779
139 1008,026306 201 227 13431 10277
139 1008,047119 209 235 14448 11107
80 1512,934570 663 867 105054 534676
445 178,640732 59 120 137 859
80 1513,450806 664 869 105054 535364
80 1513,561279 665 873 105054 536800
80 1514,179199 667 877 105667 538728
80 1515,469360 675 889 106214 553335
80 1515,892944 676 891 106214 553775
80 1517,422485 682 897 107020 559568
80 1517,939819 684 899 107643 560254
80 1521,457153 686 899 108267 560254
80 1523,882080 688 902 108884 560741
80 1541,621826 695 912 109411 571133
80 1542,216064 697 916 110006 574030
80 1542,331177 698 920 110006 574514
80 1542,867920 699 922 110006 575200
80 1543,925415 700 923 110006 575201
80 1545,426392 706 931 110732 585338
80 1547,739258 720 951 111279 611529
80 1548,366211 722 955 111874 614426
80 1548,480469 723 959 111874 614924
80 1548,601562 724 962 111874 616385
80 1548,844238 728 970 112600 625074
80 1549,074463 736 980 113642 636659
80 1549,611450 737 982 113642 637698
80 1550,677612 742 989 114348 645084
80 1792,478394 807 1033 136046 677765
80 1793,056396 809 1037 136641 680662
80 1793,157349 810 1039 136641 681723
80 1793,255859 811 1042 136641 682206
80 1793,393555 814 1047 137219 687999
80 1793,925293 815 1049 137219 689038
80 1794,113403 818 1054 137945 694831
80 1795,213745 822 1061 138651 702217
139 1008,067871 216 241 15040 11713
139 1008,075012 217 241 15040 11713
445 178,664017 60 122 137 865
80 1795,796875 824 1065 139246 705114
80 1795,908691 825 1067 139246 706172
80 1796,017456 826 1071 139246 706652
80 1796,190186 833 1078 139824 715341
80 1796,298950 835 1083 140550 718238
80 1796,796753 837 1086 141099 719812
80 1798,285278 839 1088 141722 720466
80 1798,777954 841 1092 142338 722308
